inisial;asal_sekolah
1;mts al gaotsiyah
2;mts al munawwaroh
3;mts amanatul muslimin
4;mts daar el-ulum
5;mts da'il khairaat
6;mts darunnajah ulujami
7;mts darus sa'adah
8;mts ma'arif nu 03 rembang
9;mts n 36
10;mts n 37
11;mts negeri 37
12;mts nurul huda ngawen
13;mts persis cikarang
14;mts sepatan
15;mts tahdzibun nufus
16;mts. al - gaotsiyah
17;mts. da'il khairaat
18;mts. fajrul islam
19;mts. khairul ummah
20;mts. negeri 36 jakarta
21;mts. negeri 37
22;mts. tahdzibun nufus
23;mtss daar el - kutub bayah
24;pkbm yapansa
25;smp putra nusa
26;sltp al huda
27;smk 11 pinangsia
28;smk k cendrawasih
29;smp 1 barunawati
30;smp 120 
31;smp 120 jakarta
32;smp al - huda
33;smp al - mashuriyah
34;smp al - mu'min
35;smp al abbasiyah
36;smp al huda
37;smp al mu'min
38;smp al qomar
39;smp alwahab
40;smp baptis
41;smp benteng gading
42;smp bethel kosambi
43;smp bina bangsa
44;smp bina taruna
45;smp bintang kejora
46;smp bodhisatta
47;smp budi mulia pangururan
48;smp bunda mulia
49;smp cahaya prima
50;smp cengkareng 1
51;smp citra utama
52;smp dian bangsa
53;smp duta bangsa
54;smp gapura kasih
55;smp harapan bangsa
56;smp ip yakin
57;smp islam kemuliaan
58;smp it amani ar-rasyid
59;smp k pancaran berkat
60;smp k. villa taman bandara
61;smp kasih bagi bangsa
62;smp kesatuan 
63;smp manba'ul ulum
64;smp mardi waluya 2
65;smp merdeka sari
66;smp merpati
67;smp mulia kencana
68;smp n 1 teluknaga
69;smp n 108
70;smp n 112
71;smp n 120
72;smp n 122
73;smp n 125
74;smp n 186
75;smp n 190
76;smp n 2 cikeusal
77;smp n 201
78;smp n 204
79;smp n 224
80;smp n 249
81;smp n 264
82;smp n 278
83;smp n 5 depok
84;smp n 83
85;smp negeri 1 banjar
86;smp negeri 1 pamukan barat
87;smp negeri 108
88;smp negeri 120
89;smp negeri 122
90;smp negeri 125
91;smp negeri 176
92;smp negeri 186
93;smp negeri 190
94;smp negeri 2 ngrambe
95;smp negeri 2 sungai raya
96;smp negeri 225 jakarta
97;smp negeri 4 ciawigebang
98;smp negeri 45
99;smp padindi
100;smp pelita anugerah
101;smp penabur ilmu
102;smp pgri 39 jakarta
103;smp putra negara
104;smp putra nusa
105;smp stella maris
106;smp strada
107;smp strada pelita ii
108;smp trinitas
109;smp tunas bangsa
110;smp tunas harapan
111;smp villa taman bandara
112;smp yadika 10
113;smp yadika 2
114;smp yadika 3
115;smp yanuri
116;smp yapida
117;smp yapis
118;smp yp-bdn
119;smpn 108 jakarta 
120;smpn 120 jakarta
121;smpn 224 jakarta
122;smpn 278 jakarta
123;smps kristen villa taman bandara
124;smps mentari grand surya
