inisial;kota_kelahiran
1;bagansiapiapi
2;bandar lampung
3;bandung
4;banyumas
5;bekasi
6;belinyu
7;binjai
8;blora
9;bogor
10;boyolali
11;brebes
12;cilacap
13;cirebon
14;depok
15;gresik
16;grobogan
17;indramayu
18;jakarta
19;karanganyar
20;karawang
21;kebumen
22;klaten
23;kotabaru
24;kotabumi
25;kulon progo
26;kuningan
27;lahat
28;lamongan
29;lampung
30;lebak
31;madiun
32;magelang
33;magetan
34;pemalang
35;medan
36;meral karimun
37;ngawi
38;pacitan
39;pandeglang
40;pangkal pinang
41;panipahan
42;parapat
43;pati
44;pekanbaru
45;poncowarno
46;pontianak
47;pringsewu
48;purbalingga
49;purworejo
50;rantau prapat
51;rukmajaya
52;semarang
53;serang
54;sidomulyo
55;singkawang
56;sragen
57;subik
58;sukabumi
59;sungai raya
60;tangerang
61;tanjung agung
62;tanjungbalai
63;tanjungbalai karimun
64;tasikmalaya
65;tebing tinggi
66;tegal
67;temanggung
68;tulung agung
69;way jepara
70;wonogiri
71;wonosari
72;wonosobo
